date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:21	142/142	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Jan%202026%2012:09:21%20GMT	https://www.taborslapanice.cz/robots.txt		(from )
13:09:21	92864/92864	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:21%20GMT	https://www.taborslapanice.cz/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/index.html	(from )
13:09:22	8520/8520	---MCZ	200	added ('OK')	text/css	etag:W/%222c2a57ed786e49026f7f72229c6b721f%22	https://duyn491kcolsw.cloudfront.net/files/0r/0rk/0rklmm.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/0r/0rk/0rklmmcfbe.css	(from https://www.taborslapanice.cz/)
13:09:22	458301/458301	---MCZ	200	added ('OK')	text/css	etag:W/%228a02b319d89d54682a6495933ee9967d%22	https://duyn491kcolsw.cloudfront.net/files/2e/2e5/2e5qgh.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/2e/2e5/2e5qghcfbe.css	(from https://www.taborslapanice.cz/)
13:09:22	358187/358187	---MCZ	200	added ('OK')	text/css	etag:W/%22e92ab86a4b1b2fe0af8bef68d1499c3b%22	https://duyn491kcolsw.cloudfront.net/files/41/41k/41kc5i.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/41/41k/41kc5icfbe.css	(from https://www.taborslapanice.cz/)
13:09:22	276602/276602	---MCZ	200	added ('OK')	text/css	etag:W/%22beb8b8ed9cd52bd88cd11c2316d302f8%22	https://duyn491kcolsw.cloudfront.net/files/3b/3b2/3b2e8e.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/3b/3b2/3b2e8ecfbe.css	(from https://www.taborslapanice.cz/)
13:09:22	362796/362796	---MCZ	200	added ('OK')	text/css	etag:W/%22cabb5ca97d31c9c47fa15d8ad56c9811%22	https://duyn491kcolsw.cloudfront.net/files/3i/3ik/3ikbm2.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/3i/3ik/3ikbm2cfbe.css	(from https://www.taborslapanice.cz/)
13:09:23	263926/263926	---MCZ	200	added ('OK')	text/css	etag:W/%22bc962ed5aa71d7c53380dcf1939fbb5e%22	https://duyn491kcolsw.cloudfront.net/files/39/39q/39qewd.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/39/39q/39qewdcfbe.css	(from https://www.taborslapanice.cz/)
13:09:23	274/274	---M--	200	added ('OK')	text/css	etag:%22b36014403a3c6d5b48f8e9c77c9d27d6%22	https://duyn491kcolsw.cloudfront.net/files/33/33z/33ze4k.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/33/33z/33ze4kcfbe.css	(from https://www.taborslapanice.cz/)
13:09:23	72907/72907	---MCZ	200	added ('OK')	text/css	etag:W/%22811cace921c0fd756c4e16bdf9b85559%22	https://duyn491kcolsw.cloudfront.net/files/28/28l/28lqry.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/28/28l/28lqrycfbe.css	(from https://www.taborslapanice.cz/)
13:09:23	14542/14542	---MCZ	200	added ('OK')	text/css	etag:W/%226b51feabc885ee18c7264808046582b1%22	https://duyn491kcolsw.cloudfront.net/files/1u/1uz/1uzze2.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/1u/1uz/1uzze2cfbe.css	(from https://www.taborslapanice.cz/)
13:09:23	30106/30106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f7e017d8e028439540be1f8e7d0311d3-1%22	https://duyn491kcolsw.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	(from https://www.taborslapanice.cz/)
13:09:24	107264/107264	---MCZ	200	added ('OK')	text/css	etag:W/%2296f435c63194da1bf21094dd823ff7fd%22	https://duyn491kcolsw.cloudfront.net/files/2m/2m8/2m8msc.css?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/2m/2m8/2m8msccfbe.css	(from https://www.taborslapanice.cz/)
13:09:24	19472/19472	---M--	200	added ('OK')	image/png	etag:%221d641159f804f093bec294f7ffe645fd%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000031-aef4aaef4c/screenshot%202022-02-26%20at%200.07.46.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000031-aef4aaef4c/screenshot%202022-02-26%20at%200.07.46cfbe.png	(from https://www.taborslapanice.cz/)
13:09:24	14343/14343	---M--	200	added ('OK')	image/jpeg	etag:%2265bbe8ea90d1d01af70c53f4e2d90354%22	https://duyn491kcolsw.cloudfront.net/files/1r/1ri/1rifm6.jpg?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/1r/1ri/1rifm6cfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:24	687350/687350	---M--	200	added ('OK')	image/jpeg	etag:%22121f59ffbc26ff7f6c669d568be971a8%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000000-18f5118f54/_MG_0162.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000000-18f5118f54/_MG_0162cfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:25	188538/188538	---M--	200	added ('OK')	image/jpeg	etag:%225b1e38fff2f3dbe993f47b1db976d19d%22	https://duyn491kcolsw.cloudfront.net/files/1k/1kv/1kvudr.jpg?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/1k/1kv/1kvudrcfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:25	1091421/1091421	---M--	200	added ('OK')	image/jpeg	etag:%22226fbf575b6900932c90c4367304353b%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000088-c8dacc8dae/obra%cc%81zek_2025-01-16_200939743.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000088-c8dacc8dae/obra%cc%81zek_2025-01-16_200939743cfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:25	58749/58749	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:25%20GMT	https://www.taborslapanice.cz/o-nas/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/o-nas/index.html	(from https://www.taborslapanice.cz/)
13:09:25	92903/92903	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Jan%202026%2012:09:25%20GMT	https://www.taborslapanice.cz/home/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/home/index.html	(from https://www.taborslapanice.cz/)
13:09:25	716575/716575	---M--	200	added ('OK')	image/jpeg	etag:%22551d122e26c4b9eacf085d66071307e1%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000005-f1323f1326/IMG_0714.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000005-f1323f1326/IMG_0714cfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:25	817716/817716	---M--	200	added ('OK')	image/jpeg	etag:%222d76fafc43d3e470cba35ad59832d7fa%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000129-04bad04baf/IMG_1596.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000129-04bad04baf/IMG_1596cfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:26	891445/891445	---M--	200	added ('OK')	image/jpeg	etag:%2297f3493b76e66ce629ec4d163017b7d2%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000125-dd692dd694/BBE65520-FD63-4CE1-B8CF-018F6E28EBF2.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000125-dd692dd694/BBE65520-FD63-4CE1-B8CF-018F6E28EBF2cfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:26	71634/71634	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:26%20GMT	https://www.taborslapanice.cz/aktuality/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/aktuality/index.html	(from https://www.taborslapanice.cz/)
13:09:26	61465/61465	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:26%20GMT	https://www.taborslapanice.cz/index/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/index/index.html	(from https://www.taborslapanice.cz/)
13:09:26	57169/57169	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:26%20GMT	https://www.taborslapanice.cz/ke-stazeni/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/ke-stazeni/index.html	(from https://www.taborslapanice.cz/)
13:09:26	599530/599530	---M--	200	added ('OK')	image/png	etag:%228631a86ad6f765798ca69ff3055b7869%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000070-a8b70a8b72/obr%c3%a1zek_2025-01-21_172947205.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000070-a8b70a8b72/obr%c3%a1zek_2025-01-21_172947205cfbe.png	(from https://www.taborslapanice.cz/)
13:09:27	63468/63468	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:27%20GMT	https://www.taborslapanice.cz/fotogalerie/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/fotogalerie/index.html	(from https://www.taborslapanice.cz/)
13:09:27	14343/14343	---M--	200	added ('OK')	image/jpeg	etag:%2250c275235c2bf2b3cd6f8a546e7f23fe%22	https://duyn491kcolsw.cloudfront.net/files/1e/1ef/1ef1hu.jpg?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/1e/1ef/1ef1hucfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:27	68315/68315	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:27%20GMT	https://www.taborslapanice.cz/kontakt/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/kontakt/index.html	(from https://www.taborslapanice.cz/)
13:09:27	66041/66041	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:27%20GMT	https://www.taborslapanice.cz/l/new/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/l/new/index.html	(from https://www.taborslapanice.cz/)
13:09:27	461035/461035	---M--	200	added ('OK')	image/jpeg	etag:%22e8443b49a0cf54dbe7e5cbdd5bc708f4%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000012-d1bffd1c01/IMG_1216.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000012-d1bffd1c01/IMG_1216cfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:27	65618/65618	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:27%20GMT	https://www.taborslapanice.cz/l/bude-vikendovka-naloucany-3-5-10-2025/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/l/bude-vikendovka-naloucany-3-5-10-2025/index.html	(from https://www.taborslapanice.cz/)
13:09:27	301987/301987	---M--	200	added ('OK')	image/jpeg	etag:%22a8679bba6ebb9061ba5d984c2dbe500f%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000007-3b72b3b72d/IMG_0892.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000007-3b72b3b72d/IMG_0892cfbe.jpg	(from https://www.taborslapanice.cz/)
13:09:28	20886/20886	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2027%20Jan%202026%2012:09:28%20GMT	https://www.taborslapanice.cz/l/bude-se-konat%21%3a-vikendovka-strojatin-21-%e2%80%93%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a023-unora/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/l/bude-se-konat!_-vikendovka-strojatin-21-%e2%80%93%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a0%e2%81%a023-unora/index.html	(from https://www.taborslapanice.cz/)
13:09:28	424505/424505	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c46cf0f0e5219808359528c8e9820d61%22	https://duyn491kcolsw.cloudfront.net/files/3e/3em/3eml8v.js?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/3e/3em/3eml8vcfbe.js	(from https://www.taborslapanice.cz/)
13:09:28	645/645	---M--	200	added ('OK')	application/javascript	etag:%220a87a9c6fd513cb2270f76c031b04b40-1%22	https://duyn491kcolsw.cloudfront.net/client.fe/js.compiled/lang.cz.2095.js?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/client.fe/js.compiled/lang.cz.2095cfbe.js	(from https://www.taborslapanice.cz/)
13:09:29	122007/122007	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dcdb2e59f6065b47eafc0a790456af8-1%22	https://duyn491kcolsw.cloudfront.net/client.fe/js.compiled/compiled.multi.2-2201.js?ph=464c617437	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/client.fe/js.compiled/compiled.multi.2-2201cfbe.js	(from https://www.taborslapanice.cz/)
13:09:29	31746/31746	---M--	200	added ('OK')	image/png	etag:%22d634601234cf6398df3a16238b257112%22	https://duyn491kcolsw.cloudfront.net/files/3p/3pq/3pq60x.png	C:/TempProjekty/taborslapanice/duyn491kcolsw.cloudfront.net/files/3p/3pq/3pq60x.png	(from https://duyn491kcolsw.cloudfront.net/files/41/41k/41kc5i.css?ph=464c617437)
13:09:30	65780/65780	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2012:09:30%20GMT	https://www.taborslapanice.cz/l/bude-se-konat-vylet-do-vida-parku/	C:/TempProjekty/taborslapanice/www.taborslapanice.cz/l/bude-se-konat-vylet-do-vida-parku/index.html	(from https://www.taborslapanice.cz/aktuality/)
13:09:30	1862944/1862944	---M--	200	added ('OK')	image/png	etag:%22588a3fff0a4883582f540d1dcf38d82c%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000062-6287d62880/obr%c3%a1zek_2024-11-14_211806017.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000062-6287d62880/obr%c3%a1zek_2024-11-14_211806017cfbe.png	(from https://www.taborslapanice.cz/aktuality/)
13:09:30	1436385/1436385	---M--	200	added ('OK')	image/png	etag:%229aee8cfde84e28347d7c084d7d651486%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000059-1d61b1d61d/Screenshot%202024-10-15%20at%2010.03.36.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000059-1d61b1d61d/Screenshot%202024-10-15%20at%2010.03.36cfbe.png	(from https://www.taborslapanice.cz/aktuality/)
13:09:30	4286047/4286047	---M--	200	added ('OK')	image/png	etag:%2218b6c73e0f9b9828511f7f13170760b0%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000029-a29dca29de/image_2024-08-19_115119640.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000029-a29dca29de/image_2024-08-19_115119640cfbe.png	(from https://www.taborslapanice.cz/aktuality/)
13:09:30	797719/797719	---M--	200	added ('OK')	image/png	etag:%222204e69bdeaab5e446c33846d4a2cd32%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000055-ca0d6ca0d8/Note%2019.%208.%202024-2.png?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000055-ca0d6ca0d8/Note%2019.%208.%202024-2cfbe.png	(from https://www.taborslapanice.cz/aktuality/)
13:09:31	364924/364924	---M--	200	added ('OK')	image/jpeg	etag:%2290a35c8400b1d78b1b35c36441a6ed80%22	https://464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000022-e0968e096b/454844541_8623177021044036_4542466608411535269_n.jpeg?ph=464c617437	C:/TempProjekty/taborslapanice/464c617437.clvaw-cdnwnd.com/9eacbd4206c522c4a6feddc3367114de/200000022-e0968e096b/454844541_8623177021044036_4542466608411535269_ncfbe.jpg	(from https://www.taborslapanice.cz/aktuality/)
